364,Båtsfjord Airport,Båtsfjord,NO
365,Battambang Airport,Battambang,KH
366,Batticaloa Airport,Batticaloa,LK
367,Batumi International Airport,Batumi,GE
368,Baudette International Airport,Baudette,US
369,Bauerfield International Airport,Port Vila,VU
370,Bauru - Arealva Airport,Bauru,BR
371,Bauru Airport,Bauru,BR
372,Bayankhongor Airport,Bayankhongor,MN
373,Bayannur Tianjitai Airport,Bavannur,CN
374,Baykit Airport,Baykit,RU
375,Bayreuth Airport,Bayreuth,DE
376,Bazaruto Island Airport,Bazaruto Island,MZ
377,Beale Air Force Base,Marysville,US
378,Beaufort MCAS - Merritt Field,Beaufort,US
379,Beaune-Challanges Airport,Beaune/Challanges,FR
380,Beauregard Regional Airport,De Ridder,US
381,Beauvechain Air Base,Beauvechain,BE
382,Beaver County Airport,Beaver Falls,US
383,Beaver Creek Airport,Beaver Creek,CA
384,Béchar Boudghene Ben Ali Lotfi Airport,Béchar,DZ
385,Begishevo Airport,Nizhnekamsk,RU
386,Begumpet Airport,Hyderabad,IN
387,Beijing Capital International Airport,Beijing,CN
388,Beijing Nanyuan Airport,Beijing,CN
389,Beijing Shahezhen Air Base,Beijing,CN
390,Beijing Tongxian Air Base,Beijing,CN
391,Beijing Xijiao Airport,Beijing,CN
392,Beira Airport,Beira,MZ
393,Beirut Rafic Hariri International Airport,Beirut,LB
394,Beja International Airport,Beja,PT
395,Belbek Airport,Sevastopol,UA
396,Belfast International Airport,Belfast,GB
397,Belgaum Airport,Belgaum,IN
398,Belgorod International Airport,Belgorod,RU
399,Belgrade Nikola Tesla Airport,Belgrade,RS
400,Belize City Municipal Airport,Belize City,BZ
401,Bella Coola Airport,Bella Coola,CA
402,Bellary Airport,Bellary,IN
403,Bellingham International Airport,Bellingham,US
404,Bemidji Regional Airport,Bemidji,US
405,Ben Gurion International Airport,Tel Aviv,IL
406,Ben Schoeman Airport,East London,ZA
407,Ben Ya'akov Airport,Rosh Pina,IL
408,Benazir Bhutto International Airport,Islamabad,PK
409,Benbecula Airport,Balivanich,GB
410,Bengbu Airport,Bengbu,CN
411,Benguela Airport,Benguela,AO
412,Benguera Island Airport,Benguera Island,MZ
413,Beni Suef Air Base,Beni Suef,EG
414,Benin Airport,Benin,NG
415,Benina International Airport,Benghazi,LY
416,Benito Salas Airport,Neiva,CO
417,Berbera Airport,Berbera,SO
418,Berbérati Airport,Berbérati,CF
419,Berens River Airport,Berens River,CA
420,Bergen Airport Flesland,Bergen,NO
421,Bergerac-Roumanière Airport,Bergerac/Roumanière,FR
422,Berlevåg Airport,Berlevåg,NO
423,Berlin-Schönefeld Airport,Berlin,DE
424,Berlin-Tegel Airport,Berlin,DE
425,Bermejo Airport,Bermejo,BO
426,Bern Belp Airport,Bern,CH
427,Bert Mooney Airport,Butte,US
428,Beryozovka Air Base,Pechora,RU
429,Beslan Airport,Beslan,RU
430,Bethel Airport,Bethel,US
431,Bettles Airport,Bettles,US
432,Beverly Municipal Airport,Beverly,US
433,Béziers-Vias Airport,Béziers/Vias,FR
434,Bezmer Air Base,Yambol,BG
435,Bezymyanka Airfield,Samara,RU
436,Bhavnagar Airport,Bhavnagar,IN
437,Bhuj Airport,Bhuj,IN
438,Bia?a Podlaska Airfield,Bia?a Podlaska,PL
439,Biarritz-Anglet-Bayonne Airport,Biarritz/Anglet/Bayonne,FR
440,Bicycle Lake Army Air Field,Fort Irwin/Barstow,US
441,Biella-Cerrione Airport,Biella (BI),IT
442,Big Creek Airport,Big Creek,BZ
443,Big Trout Lake Airport,Big Trout Lake,CA
444,Biggs Army Air Field (Fort Bliss),Fort Bliss/El Paso,US
445,Bijie Feixiong Airport,Bijie,CN
446,Biju Patnaik Airport,Bhubaneswar,IN
447,Bila Tserkva Airfield,Bila Tserkva,UA
448,Bilbao Airport,Bilbao,ES
449,Bilbeis 2 Airfield,Bilbeis,EG
450,Bilbeis Air Base,Bilbeis,EG
451,Bill & Hillary Clinton National Airport/Adams Field,Little Rock,US
452,Billings Logan International Airport,Billings,US
453,Billund Airport,Billund,DK
454,Billy Bishop Toronto City Centre Airport,Toronto,CA
455,Bilogai-Sugapa Airport,Sugapa-Papua Island,ID
456,Binaka Airport,Gunung Sitoli-Nias Island,ID
457,Bintulu Airport,Bintulu,MY
458,Biratnagar Airport,Biratnagar,NP
459,Birchwood Airport,Birchwood,US
460,Birjand Airport,Birjand,IR
461,Birma Air Base,Tanta,EG
462,Birmingham International Airport,Birmingham,GB
463,Birmingham-Shuttlesworth International Airport,Birmingham,US
464,Birofeld Air Base,Birofeld,RU
465,Birsa Munda Airport,Ranchi,IN
466,Bisbee Douglas International Airport,Douglas Bisbee,US
467,Bisho Airport,Bisho,ZA
468,Bishop International Airport,Flint,US
469,Biskra Airport,Biskra,DZ
470,Bismarck Municipal Airport,Bismarck,US
471,Bitam Airport,Bitam,GA
472,Björkvik Air Base,Björkvik,SE
473,Blackall Airport,Blackall,AU
474,Blackbushe Airport,Yateley,GB
475,Blackpool International Airport,Blackpool,GB
476,Blagodatnoye Air Base,Blagodatnoye,RU
477,Blois-Le Breuil Airport,Blois/Le Breuil,FR
478,Blue Grass Airport,Lexington,US
479,Blue River Airport,Blue River,CA
480,Bluefields Airport,Bluefileds,NI
481,Blythe Airport,Blythe,US
482,Bo Airport,Bo,SL
483,Bob Baker Memorial Airport,Kiana,US
484,Bob Hope Airport,Burbank,US
485,Bob Sikes Airport,Crestview,US
486,Bobo Dioulasso Airport,Bobo Dioulasso,BF
487,Boboc Air Base,Boboc,RO
488,Bobrovichi Air Base,Kalinovichi,BY
489,Bobrovka Air Base,Kinel,RU
490,Bocas Del Toro International Airport,Isla Colón,PA
491,Bodø Airport,Bodø,NO
492,Boeing Field King County International Airport,Seattle,US
493,Bogashevo Airport,Tomsk,RU
494,Boise Air Terminal/Gowen field,Boise,US
495,Bojnord Airport,Bojnord,IR
496,Bol Airport,Bra? Island,HR
497,Bologna Guglielmo Marconi Airport,Bologna,IT
498,Bolshiye Shiraki Air Base,Bolshiye Shiraki,GE
499,Bolshoy Tokmak Air Base,Tokmak,UA
500,Bolshoye Savino Airport,Perm,RU
501,Bolzano Airport,Bolzano,IT
502,Bom Jesus da Lapa Airport,Bom Jesus Da Lapa,BR
503,Bonaventure Airport,Bonaventure,CA
504,Bonnyville Airport,Bonnyville,CA
505,Bonriki International Airport,Tarawa,KI
506,Boone County Airport,Harrison,US
507,Bora Bora Airport,Motu Mute,PF
508,Bordeaux-Mérignac Airport,Bordeaux/Mérignac,FR
509,Borg El Arab International Airport,Alexandria,EG
510,Borisoglebsk Air Base,Borisoglebsk,RU
511,Borisoglebskoye Airport,Kazan,RU
512,Bornholm Airport,Rønne,DK
513,Boryspil International Airport,Kiev,UA
514,Boscobel Aerodrome,Ocho Rios,JM
515,Bou Chekif Airport,Tiaret,DZ
516,Bouarfa Airport,Bouarfa,MA
517,Boundary Bay Airport,Vancouver,CA
518,Bourges Airport,Bourges,FR
519,Bournemouth Airport,Bournemouth,GB
520,Bowerman Airport,Hoquiam,US
521,Bowling Green Warren County Regional Airport,Bowling Green,US
522,Bowman Field,Louisville,US
523,Bradford Regional Airport,Bradford,US
524,Bradley International Airport,Hartford,US
525,Bradshaw Army Airfield,Camp Pohakuloa,US
526,Braga Municipal Aerodrome,Braga,PT
527,Bragança Airport,Bragança,PT
528,Brainerd Lakes Regional Airport,Brainerd,US
529,Brak Airport,Brak,LY
530,Bram Fischer International Airport,Bloemfontain,ZA
531,Brampton Airport,Brampton,CA
532,Brandon Municipal Airport,Brandon,CA
533,Bratsk Airport,Bratsk,RU
534,Braunschweig-Wolfsburg Airport,Braunschweig,DE
535,Bremen Airport,Bremen,DE
536,Bremerton National Airport,Bremerton,US
537,Brescia Airport,Montichiari (BS),IT
538,Brest Airport,Brest,BY
539,Brest Bretagne Airport,Brest/Guipavas,FR
540,Brig. Lysias Augusto Rodrigues Airport,Carolina,BR
541,Brigadeiro Camarão Airport,Vilhena,BR
542,Brigadeiro Lysias Rodrigues Airport,Palmas,BR
543,Brigadier Antonio Parodi Airport,Esquel,AR
544,Brigadier Mayor D Cesar Raul Ojeda Airport,San Luis,AR
545,Brindisi – Salento Airport,Brindisi,IT
546,Brisbane International Airport,Brisbane,AU
547,Bristol Airport,Bristol,GB
548,Brno-Tu?any Airport,Brno,CZ
549,Brochet Airport,Brochet,CA
550,Broken Hill Airport,Broken Hill,AU
551,Bromont (Roland Desourdy) Airport,Bromont,CA
552,Brønnøysund Airport,Brønnøy,NO
553,Broome International Airport,Broome,AU
554,Brown Field Municipal Airport,San Diego,US
555,Brownsville South Padre Island International Airport,Brownsville,US
556,Brunei International Airport,Bandar Seri Begawan,BN
557,Brunswick Executive Airport,Brunswick,US
558,Brunswick Golden Isles Airport,Brunswick,US
559,Brussels Airport,Brussels,BE
560,Brussels South Charleroi Airport,Brussels,BE
561,Bryansk Airport,Bryansk,RU
562,Bryce Canyon Airport,Bryce Canyon,US
563,Bubung Airport,Luwok-Celebes Island,ID
564,Bucholz Army Air Field,Kwajalein,MH
565,Buckland Airport,Buckland,US
566,Buckley Air Force Base,Aurora,US
567,Budapest Ferenc Liszt International Airport,Budapest,HU
568,Budel Airport,Weert,NL
569,Budyonnovsk Air Base,Budyonnovsk,RU
570,Buenos Aires Airport,Punta Arenas,CR
571,Buffalo Niagara International Airport,Buffalo,US
572,Buffalo Range Airport,Chiredzi,ZW
573,Bugulma Airport,Bugulma,RU
574,Buguruslan Severny Airport,Buguruslan,RU
575,Bujumbura International Airport,Bujumbura,BI
576,Buka Airport,Buka Island,PG
577,Bukhara Airport,Bukhara,UZ
578,Bulgan Airport,Bulgan,MN
579,Bundaberg Airport,Bundaberg,AU
580,Buon Ma Thuot Airport,Buon Ma Thuot,VN
581,Burgas Airport,Burgas,BG
582,Burgos Airport,Burgos,ES
583,Burke Lakefront Airport,Cleveland,US
584,Burley Municipal Airport,Burley,US
585,Burlington International Airport,Burlington,US
586,Burns Municipal Airport,Burns,US
587,Bursa Yeni?ehir Airport,Bursa,TR
588,Burwash Airport,Burwash,CA
589,Bushehr Airport,Bushehr,IR
590,Butterworth Airport,Butterworth,MY
591,Buttonville Municipal Airport,Toronto,CA
592,Butts AAF (Fort Carson) Air Field,Fort Carson,US
593,Buturlinovka Air Base,Buturlinovka,RU
594,Bydgoszcz Ignacy Jan Paderewski Airport,Bydgoszcz,PL
595,Cà Mau Airport,Ca Mau City,VN
596,Caballococha Airport,Caballococha,PE
597,Cabinda Airport,Cabinda,AO
598,Cabo Rojo Airport,Cabo Rojo,DO
599,Cabo San Lucas International Airport,Cabo San Lucas,MX
600,Cachimbo Airport,Novo Progresso,BR
601,Cacique Aramare Airport,Puerto Ayacucho,VE
602,Cadete FAP Guillermo Del Castillo Paredes Airport,Tarapoto,PE
603,Cadjehoun Airport,Cotonou,BJ
604,Caen-Carpiquet Airport,Caen/Carpiquet,FR
605,Cagliari Elmas Airport,Cagliari,IT
606,Cahors-Lalbenque Airport,Cahors/Lalbenque,FR
607,Cahul International Airport,Cahul,MD
608,Cairns AAF (Fort Rucker) Air Field,Fort Rucker/Ozark,US
609,Cairns International Airport,Cairns,AU
610,Cairo International Airport,Cairo,EG
611,Cairo West Airport,El Cairo,EG
612,Cakung Airport,Baucau,TL
613,Calabozo Airport,Guarico,VE
614,Calais-Dunkerque Airport,Calais/Dunkerque,FR
615,Calbayog Airport,Calbayog City,PH
616,Calgary / Springbank Airport,Calgary,CA
