Bao'anying Airport,Panzhihua,CN-51
Baotou Airport,Baotou,CN-15
Bar Yehuda Airfield,Masada,IL-D
Baracoa Airport,Magangué,CO-BOL
Baranavichi Air Base,Baranavichi,BY-BR
Barberton Airport,Umjindi (Barberton),ZA-MP
Barcaldine Airport,Barcaldine,AU-QLD
Barcelona International Airport,Barcelona,ES-CT
Bardufoss Airport,Målselv,NO-19
Bareilly Air Force Station,Bareilly,IN-UP
Bari Karol Wojty?a Airport,Bari,IT-75
Barinas Airport,Barinas,VE-E
Bario Airport,Bario,MY-13
Barisal Airport,Barisal,BD-1
Barking Sands Airport,Kekaha,US-HI
Barkley Regional Airport,Paducah,US-KY
Barksdale Air Force Base,Bossier City,US-LA
Barnaul Airport,Barnaul,RU-ALT
Barnstable Municipal Boardman Polando Field,Hyannis,US-MA
Barquisimeto International Airport,Barquisimeto,VE-K
Barra Airport,Eoligarry,GB-SCT
Barra del Colorado Airport,Pococi,CR-L
Barra do Garças Airport,Barra Do Garças,BR-MT
Barriles Airport,Tocopilla,CL-AN
Barrow Walney Island Airport,Barrow-in-Furness,GB-ENG
Barstow Daggett Airport,Daggett,US-CA
Barter Island LRRS Airport,Barter Island Lrrs,US-AK
Bartolomeu Lisandro Airport,Campos Dos Goytacazes,BR-RJ
Barysiai Airport,Barysiai,LT-SA
Basco Airport,Basco,PH-CAG
Base Aérea Airport,Anápolis,BR-GO
Base Aérea de Santos Airport,Guarujá,BR-SP
Base de Aviação de Taubaté Airport,Taubaté,BR-SP
Basrah International Airport,Basrah,IQ-BA
Bassatine Airport,Meknes,MA-MEK
Bassel Al-Assad International Airport,Latakia,SY-LA
Bastia-Poretta Airport,Bastia/Poretta,FR-H
Batajnica Air Base,Batajnica,RS-07
Bathurst Airport,Bathurst,CA-NB
Bathurst Airport,Bathurst,AU-NSW
Batken Airport,Batken,KG-B
Batman Airport,Batman,TR-72
Batna Airport,Batna,DZ-05
"Baton Rouge Metropolitan, Ryan Field",Baton Rouge,US-LA
Båtsfjord Airport,Båtsfjord,NO-20
Battambang Airport,Battambang,KH-2
Batticaloa Airport,Batticaloa,LK-5
Batumi International Airport,Batumi,GE-AJ
Baudette International Airport,Baudette,US-MN
Bauerfield International Airport,Port Vila,VU-SEE
Bauru - Arealva Airport,Bauru,BR-SP
Bauru Airport,Bauru,BR-SP
Bayankhongor Airport,Bayankhongor,MN-069
Bayannur Tianjitai Airport,Bavannur,CN-15
Baykit Airport,Baykit,RU-KYA
Bayreuth Airport,Bayreuth,DE-BY
Bazaruto Island Airport,Bazaruto Island,MZ-I
Beale Air Force Base,Marysville,US-CA
Beaufort MCAS - Merritt Field,Beaufort,US-SC
Beaune-Challanges Airport,Beaune/Challanges,FR-D
Beauregard Regional Airport,De Ridder,US-LA
Beauvechain Air Base,Beauvechain,BE-WBR
Beaver County Airport,Beaver Falls,US-PA
Beaver Creek Airport,Beaver Creek,CA-YT
Béchar Boudghene Ben Ali Lotfi Airport,Béchar,DZ-08
Begishevo Airport,Nizhnekamsk,RU-TA
Begumpet Airport,Hyderabad,IN-TG
Beijing Capital International Airport,Beijing,CN-11
Beijing Nanyuan Airport,Beijing,CN-11
Beijing Shahezhen Air Base,Beijing,CN-11
Beijing Tongxian Air Base,Beijing,CN-11
Beijing Xijiao Airport,Beijing,CN-11
Beira Airport,Beira,MZ-S
Beirut Rafic Hariri International Airport,Beirut,LB-JL
Beja International Airport,Beja,PT-02
Belbek Airport,Sevastopol,UA-43
Belfast International Airport,Belfast,GB-NIR
Belgaum Airport,Belgaum,IN-KA
Belgorod International Airport,Belgorod,RU-BEL
Belgrade Nikola Tesla Airport,Belgrade,RS-00
Belize City Municipal Airport,Belize City,BZ-BZ
Bella Coola Airport,Bella Coola,CA-BC
Bellary Airport,Bellary,IN-KA
Bellingham International Airport,Bellingham,US-WA
Bemidji Regional Airport,Bemidji,US-MN
Ben Gurion International Airport,Tel Aviv,IL-M
Ben Schoeman Airport,East London,ZA-EC
Ben Ya'akov Airport,Rosh Pina,IL-Z
Benazir Bhutto International Airport,Islamabad,PK-IS
Benbecula Airport,Balivanich,GB-SCT
Bengbu Airport,Bengbu,CN-34
Benguela Airport,Benguela,AO-BGU
Benguera Island Airport,Benguera Island,MZ-I
Beni Suef Air Base,Beni Suef,EG-BNS
Benin Airport,Benin,NG-ED
Benina International Airport,Benghazi,LY-BA
Benito Salas Airport,Neiva,CO-HUI
Berbera Airport,Berbera,SO-WO
Berbérati Airport,Berbérati,CF-HS
Berens River Airport,Berens River,CA-MB
Bergen Airport Flesland,Bergen,NO-12
Bergerac-Roumanière Airport,Bergerac/Roumanière,FR-B
Berlevåg Airport,Berlevåg,NO-20
Berlin-Schönefeld Airport,Berlin,DE-BR
Berlin-Tegel Airport,Berlin,DE-BE
Bermejo Airport,Bermejo,BO-T
Bern Belp Airport,Bern,CH-BE
Bert Mooney Airport,Butte,US-MT
Beryozovka Air Base,Pechora,RU-KO
