Rio Galeão – Tom Jobim International Airport,Rio De Janeiro,BR-RJ
Risalpur Air Base,Risalpur,PK-NW
Rishiri Airport,Rishiri,JP-01
Riverside Airport,Malelane,ZA-MP
Riverside Municipal Airport,Riverside,US-CA
Riverton Regional Airport,Riverton,US-WY
Rivière-du-Loup Airport,Rivière-du-Loup,CA-QC
Rivne International Airport,Rivne,UA-19
Rivolto Air Base,Codroipo,IT-36
Riwon Airbase,Riwon-gun,KP-08
Riyadh Air Base,Riyadh,SA-01
Rizhao Shanzihe Airport,Rizhao,CN-37
RNAS Culdrose,Helston,GB-ENG
RNAS Yeovilton,Yeovil,GB-ENG
Roanne-Renaison Airport,Roanne/Renaison,FR-V
Roanoke–Blacksburg Regional Airport,Roanoke,US-VA
Robert Gray  Army Air Field Airport,Fort Hood/Killeen,US-TX
Robert L. Bradshaw International Airport,Basseterre,KN-U-A
Roberts Field,Redmond,US-OR
Roberts International Airport,Monrovia,LR-MG
Robertson Airport,Robertson,ZA-WC
Roberval Airport,Roberval,CA-QC
Robin Hood Doncaster Sheffield Airport,Doncaster,GB-ENG
Robins Air Force Base,Warner Robins,US-GA
Rochefort-Saint-Agnant (BA 721) Airport,Rochefort/Saint-Agnant,FR-T
Rochester International Airport,Rochester,US-MN
Rock Sound Airport,Rock Sound,BS-RS
Rock Springs Sweetwater County Airport,Rock Springs,US-WY
Rockhampton Airport,Rockhampton,AU-QLD
Rocky Mount Wilson Regional Airport,Rocky Mount,US-NC
Rocky Mountain Metropolitan Airport,Denver,US-CO
Rodez-Marcillac Airport,Rodez/Marcillac,FR-N
Rodríguez Ballón International Airport,Arequipa,PE-ARE
Rogachyovo Air Base,Belaya,RU-NEN
Rogue Valley International Medford Airport,Medford,US-OR
Roland Garros Airport,St Denis,RE-U-A
Roma Airport,Roma,AU-QLD
Ronald Reagan Washington National Airport,Washington,US-DC
Røros Airport,Røros,NO-16
"Rørvik Airport, Ryum",Rørvik,NO-17
Rosecrans Memorial Airport,St Joseph,US-MO
Roshchino International Airport,Tyumen,RU-TYU
Ross River Airport,Ross River,CA-YT
Rostock-Laage Airport,Rostock,DE-MV
Rostov-na-Donu Tsentralny Air Base,Rostov-na-Donu,RU-ROS
Rostov-on-Don Airport,Rostov-on-Don,RU-ROS
Roswell International Air Center Airport,Roswell,US-NM
Rota International Airport,Rota Island,MP-U-A
Rota Naval Station Airport,Rota,ES-AN
Rothenburg/Görlitz Airport,Rothenburg/Oberlausitz,DE-SN
Rotorua Regional Airport,Rotorua,NZ-BOP
Rotterdam The Hague Airport,Rotterdam,NL-ZH
Rouen Airport,Rouen/Vallée de Seine,FR-Q
Round Lake (Weagamow Lake) Airport,Round Lake,CA-ON
Rouyn Noranda Airport,Rouyn-Noranda,CA-QC
Rovaniemi Airport,Rovaniemi,FI-LL
Roxas Airport,Roxas City,PH-CAP
Royal Marines Base Chivenor Airport,Chivenor,GB-ENG
Royan-Médis Airport,Royan/Médis,FR-T
Rtishchevo Air Base,Rtishchevo,RU-SAR
Rubelsanto Airport,Rubelsanto,GT-AV
Rubem Berta Airport,Uruguaiana,BR-RS
Ruben Cantu Airport,Santiago,PA-9
Ruby Airport,Ruby,US-AK
Rugao Air Base,Rugao,CN-32
Rundu Airport,Rundu,NA-KE
Russell Municipal Airport,Russell,US-KS
Rustaq Airport,Al Masna'ah,OM-BA
Rustenburg Airport,Rustenburg,ZA-NW
Rutland - Southern Vermont Regional Airport,Rutland,US-VT
Rzeszów-Jasionka Airport,Rzeszów,PL-PK
Rzhev Air Base,Rzhev,RU-TVE
Saarbrücken Airport,Saarbrücken,DE-SL
Sabha Airport,Sabha,LY-SB
Sabiha Gökçen International Airport,Istanbul,TR-34
Sabzevar National Airport,Sabzevar,IR-30
Sacheon Air Base/Airport,Sacheon,KR-48
Sachigo Lake Airport,Sachigo Lake,CA-ON
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,CA-NT
Sacramento Executive Airport,Sacramento,US-CA
Sacramento International Airport,Sacramento,US-CA
Sacramento Mather Airport,Sacramento,US-CA
Sadiq Abubakar III International Airport,Sokoto,NG-SO
Sado Airport,Sado,JP-15
Saga Airport,Saga,JP-41
Saidpur Airport,Saidpur,BD-5
Saidu Sharif Airport,Saidu Sharif,PK-NW
Saint John Airport,Saint John,CA-NB
Saint Louis Airport,Saint Louis,SN-SL
Saint-Brieuc-Armor Airport,Saint-Brieuc/Armor,FR-E
Saint-Dizier-Robinson (BA 113) Air Base,Saint-Dizier/Robinson,FR-G
Saint-Étienne-Bouthéon Airport,Saint-Étienne/Bouthéon,FR-V
Saint-Georges-de-l'Oyapock Airport,Saint-Georges-de-l'Oyapock Airport,GF-CY
Saint-Girons-Antichan Airport,Saint-Girons/Antichan,FR-N
Saint-Nazaire-Montoir Airport,Saint-Nazaire/Montoir,FR-R
Saint-Yan Airport,Saint-Yan,FR-D
Saipan International Airport,Saipan Island,MP-U-A
Saïss Airport,Fes,MA-FES
Saki Air Base,Saki,UA-43
Salak Airport,Maroua,CM-EN
Salalah Airport,Salalah,OM-ZU
Salamanca Airport,Salamanca,ES-CL
Saldanha /Vredenburg Airport,Saldanha-Vredenburg,ZA-WC
Salekhard Airport,Salekhard,RU-YAN
Salem Airport,Salem,IN-TN
Salem Municipal Airport/McNary Field,Salem,US-OR
Salerno Costa d'Amalfi Airport,Salerno,IT-72
Salgado Filho Airport,Porto Alegre,BR-RS
Salina Municipal Airport,Salina,US-KS
Salinas Municipal Airport,Salinas,US-CA
Saline County Regional Airport,Benton,US-AR
Salisbury Ocean City Wicomico Regional Airport,Salisbury,US-MD
Salluit Airport,Salluit,CA-QC
Salmon Arm Airport,Salmon Arm,CA-BC
Salon-de-Provence (BA 701) Air Base,Salon,FR-U
Salt Lake City International Airport,Salt Lake City,US-UT
Salzburg Airport,Salzburg,AT-5
Sam Mbakwe International Airport,Owerri,NG-IM
Sam Ratulangi Airport,Manado-Celebes Island,ID-SA
Samaná El Catey International Airport,Samana,DO-20
Samand?ra Air Base,Ümraniye,TR-34
Samara Kryazh Air Base,Samara,RU-SAM
Samarkand Airport,Samarkand,UZ-SA
Samos Airport,Samos Island,GR-84
Samui Airport,Na Thon (Ko Samui Island),TH-80
San Andros Airport,Andros Island,BS-NB
San Angelo Regional Mathis Field,San Angelo,US-TX
San Antonio International Airport,San Antonio,US-TX
San Bernardino International Airport,San Bernardino,US-CA
San Carlos De Bariloche Airport,San Carlos de Bariloche,AR-R
San Diego International Airport,San Diego,US-CA
San Fernando Airport,San Fernando,AR-B
San Fernando De Apure Airport,Inglaterra,VE-C
San Francisco International Airport,San Francisco,US-CA
San Isidro Air Base,San Isidro,DO-01
San Javier Airport,San Javier,ES-MU
San Jose Airport,San Jose,PH-MDC
San José Airport,Puerto San José,GT-ES
San Juan de Los Morros Airport,San Juan de los Morros,VE-J
San Julian Air Base,Pinar Del Rio,CU-01
San Luis Airport,Ipiales,CO-NAR
San Luis County Regional Airport,San Luis Obispo,US-CA
San Luis Valley Regional Bergman Field,Alamosa,US-CO
San Marcos Regional Airport,San Marcos,US-TX
San Nicolas De Bari Airport,San Nicolás,CU-02
San Pedro Airport,San Pedro,BZ-CY
San Salvador Airport,San Salvador,BS-SR
San Sebastian Airport,Hondarribia,ES-PV
San Tomé Airport,El Tigre,VE-B
San Vito De Java Airport,Coto Brus,CR-P
Sana'a International Airport,Sana'a,YE-SN
Sand Point Airport,Sand Point,US-AK
Sandakan Airport,Sandakan,MY-12
"Sandefjord Airport, Torp",Torp,NO-07
Sandnessjøen Airport (Stokka),Alstahaug,NO-18
Sandspit Airport,Sandspit,CA-BC
Sandy Lake Airport,Sandy Lake,CA-ON
Sangster International Airport,Montego Bay,JM-08
Saniat R'mel Airport,Tétouan,MA-TET
Sanikiluaq Airport,Sanikiluaq,CA-NU
?anl?urfa Airport,?anl?urfa,TR-63
?anl?urfa GAP Airport,?anl?urfa,TR-63
Sanshilipu Air Base,Dalian,CN-21
Santa Ana Airport,Cartago,CO-VAC
Santa Ana Del Yacuma Airport,Santa Ana del Yacuma,BO-B
Santa Barbara Municipal Airport,Santa Barbara,US-CA
Santa Bernardina International Airport,Durazno,UY-DU
Santa Cruz Air Force Base,Rio de Janeiro,BR-RJ
Santa Cruz Airport,Santa Cruz,AR-Z
Santa Fe Municipal Airport,Santa Fe,US-NM
Santa Genoveva Airport,Goiânia,BR-GO
Santa Maria Airport,Aracaju,BR-SE
Santa Maria Airport,Santa Maria,BR-RS
Santa Maria Airport,Vila do Porto,PT-20
Santa Maria Pub/Capt G Allan Hancock Field,Santa Maria,US-CA
Santa Rosa Airport,Santa Rosa,AR-L
Santa Rosa International Airport,Santa Rosa,EC-O
Santa Teresita Airport,Santa Teresita,AR-B
Santander Airport,Santander,ES-S
Santiago de Compostela Airport,Santiago de Compostela,ES-GA
Santiago Perez Airport,Arauca,CO-ARA
Santiago Vila Airport,Girardot,CO-CUN
Santo Ângelo Airport,Santo Ângelo,BR-RS
Santo Pekoa International Airport,Luganville,VU-SAM
Santorini Airport,Santorini Island,GR-82
Santos Dumont Airport,Rio De Janeiro,BR-RJ
Sanya Phoenix International Airport,Sanya,CN-46
São Gabriel da Cachoeira Airport,São Gabriel Da Cachoeira,BR-AM
São Jorge Airport,Velas,PT-20
São Pedro Airport,São Pedro,CV-B
São Tomé International Airport,São Tomé,ST-S
Sarajevo International Airport,Sarajevo,BA-BIH
Sarakhs Airport,Sarakhs,IR-30
Saransk Airport,Saransk,RU-MO
Sarasota Bradenton International Airport,Sarasota/Bradenton,US-FL
Saratov Central Airport,Saratov,RU-SAR
Sardar Vallabhbhai Patel International Airport,Ahmedabad,IN-GJ
Sardar-e-Jangal Airport,Rasht,IR-19
Sármellék International Airport,Sármellék,HU-ZA
Sartaneja Airport,Sartaneja,BZ-CZL
Sary-Arka Airport,Karaganda,KZ-KAR
Sarzana-Luni Air Base,Sarzana (SP),IT-42
Saskatoon John G. Diefenbaker International Airport,Saskatoon,CA-SK
Saskylakh Airport,Saskylakh,RU-SA
Såtenäs Air Base,Såtenäs,SE-Q
Satu Mare Airport,Satu Mare,RO-SM
Sauce Viejo Airport,Santa Fe,AR-S
Sault Ste Marie Airport,Sault Ste Marie,CA-ON
Saumur-Saint-Florent Airport,Saumur/Saint-Florent,FR-R
Saurimo Airport,Saurimo,AO-LSU
Savannah Hilton Head International Airport,Savannah,US-GA
Savonlinna Airport,Savonlinna,FI-IS
Savoonga Airport,Savoonga,US-AK
Sawyer County Airport,Hayward,US-WI
Sawyer International Airport,Marquette,US-MI
Sayun International Airport,Sayun,YE-HD
Scammon Bay Airport,Scammon Bay,US-AK
Scatsta Airport,Shetland Islands,GB-SCT
Schefferville Airport,Schefferville,CA-QC
Schenectady County Airport,Schenectady,US-NY
Schleswig Air Base,Jagel,DE-SH
Scholes International At Galveston Airport,Galveston,US-TX
Scott AFB/Midamerica Airport,Belleville,US-IL
Sde Dov Airport,Tel Aviv,IL-TA
Seattle Tacoma International Airport,Seattle,US-WA
Secunda Airport,Secunda,ZA-MP
Sehwan Sharif Airport,Sehwan Sharif,PK-SD
Seinäjoki Airport,Seinäjoki / Ilmajoki,FI-LS
Selawik Airport,Selawik,US-AK
Seletar Airport,Seletar,SG-02
Selfridge Air National Guard Base Airport,Mount Clemens,US-MI
Sembawang Air Base,Sembawang,SG-03
Semipalatinsk Airport,Semey,KZ-VOS
Semyazino Airport,Vladimir,RU-VLA
Senador Nilo Coelho Airport,Petrolina,BR-PE
Senador Petrônio Portela Airport,Teresina,BR-PI
Senai International Airport,Johor Bahru,MY-01
Senaki Air Base,Senaki,GE-SZ
Sendai Airport,Sendai,JP-04
Senou Airport,Senou,ML-2
Sentani Airport,Jayapura-Papua Island,ID-PA
Seoul Air Base (K-16),Simgok-dong,KR-41
Sept-Îles Airport,Sept-Îles,CA-QC
Serafin Enoss Bertaso Airport,Chapecó,BR-SC
Seshcha Air Base,Dubrovka,RU-BRY
Severo-Eniseysk Airport,Severo-Eniseysk,RU-KYA
Severo-Evensk Airport,Evensk,RU-MAG
Severomorsk-1 Naval Air Base,Severomorsk,RU-MUR
Severomorsk-3 Naval Air Base,Severomorsk,RU-MUR
Sevilla Airport,Sevilla,ES-AN
Seward Airport,Seward,US-AK
Seychelles International Airport,Mahe Island,SC-20
Seymchan Airport,Seymchan,RU-MAG
Seymour Johnson Air Force Base,Goldsboro,US-NC
Sfax Thyna International Airport,Sfax,TN-61
Shadrinsk Air Base,Shadrinsk,RU-KGN
Shah Amanat International Airport,Chittagong,BD-2
Shah Mokhdum Airport,Rajshahi,BD-5
Shahbaz Air Base,Jacobabad,PK-SD
Shaheed Benazirabad Airport,Nawabashah,PK-SD
Shahid Ashrafi Esfahani Airport,Kermanshah,IR-17
Shahid Sadooghi Airport,Yazd,IR-25
Shahrekord Airport,Shahrekord,IR-08
Shaikh Zaid Airport,Rahim Yar Khan,PK-PB
Shamattawa Airport,Shamattawa,CA-MB
Shanghai Dachang Air Base,Shanghai,CN-31
Shanghai Hongqiao International Airport,Shanghai,CN-31
Shanghai Pudong International Airport,Shanghai,CN-31
Shangqiu Air Base,Shangqiu,CN-41
Shannon Airport,Limerick,IE-CE
Shanshan Airport,Shanshan,CN-65
Shante Air Base,Meiktila,MM-04
Shaoguan Guitou Airport,Shaoguan,CN-44
Sharjah International Airport,Sharjah,AE-SH
Shark Bay Airport,Denham,AU-WA
Sharm El Sheikh International Airport,Sharm el-Sheikh,EG-JS
Sharomy Air Base,Sharomy,RU-KAM
Sharypovo Airport,Sharypovo,RU-KYA
Shatalovo Air Base,Pochinok,RU-SMO
Shaw Air Force Base,Sumter,US-SC
Shaxian Airport,Sanming,CN-35
Shaykovka Air Base,Kirov,RU-KLU
Sheik Isa Air Base,Sitrah,BH-14
Sheikh ul Alam Airport,Srinagar,IN-JK
Shek Kong Air Base,Hong Kong,HK-U-A
Shelby County Airport,Alabaster,US-AL
Shennongjia Hongping Airport,Shennongjia,CN-42
Shenyang Beiling Air Base,Shenyang,CN-21
Shenyang Dongta Airport,Shenyang,CN-21
Shenyang Yu Hung Tun Air Base,Shenyang,CN-21
Shenzhen Bao'an International Airport,Shenzhen,CN-44
Sheppard Air Force Base-Wichita Falls Municipal Airport,Wichita Falls,US-TX
Sherbro International Airport,Bonthe,SL-S
Sherbrooke Airport,Sherbrooke,CA-QC
Sheremetyevo International Airport,Moscow,RU-MOS
Sheridan County Airport,Sheridan,US-WY
Shigatse Air Base,Xigazê,CN-54
Shijiazhuang Daguocun International Airport,Shijiazhuang,CN-13
Shillong Airport,Shillong,IN-ML
Shimojishima Airport,Shimojishima,JP-47
Shiraz Shahid Dastghaib International Airport,Shiraz,IR-14
Shishmaref Airport,Shishmaref,US-AK
Shiyan Wudangshan Airport,Shiyan,CN-42
Shonai Airport,Shonai,JP-06
Shoreham Airport,Brighton,GB-ENG
Shreveport Regional Airport,Shreveport,US-LA
Shumba Airport,Jaén,PE-CAJ
Shymkent Airport,Shymkent,KZ-YUZ
Sialkot Airport,Sialkot,PK-PB
Šiauliai International Airport,Šiauliai,LT-SA
Sibiu International Airport,Sibiu,RO-SB
Sibu Airport,Sibu,MY-13
Sibulan Airport,Dumaguete City,PH-NER
Sidi Ahmed Air Base,Sidi Ahmed,TN-23
Sidney Municipal-Lloyd W Carr Field,Sidney,US-NE
Sidney Richland Municipal Airport,Sidney,US-MT
Siem Reap International Airport,Siem Reap,KH-17
Siena-Ampugnano Airport,Siena,IT-52
Sierra Blanca Regional Airport,Ruidoso,US-NM
Sierra Maestra Airport,Manzanillo,CU-12
Sierra Vista Municipal Libby Army Air Field,Fort Huachuca Sierra Vista,US-AZ
Siglufjörður Airport,Siglufjörður,IS-6
Sigonella Navy Air Base,Sigonella (CT),IT-82
Siguanea Airport,Isla de la Juventud,CU-99
Siirt Airport,Siirt,TR-56
Silchar Airport,Silchar,IN-AS
Silvio Pettirossi International Airport,Asunción,PY-11
Simferopol International Airport,Simferopol,UA-43
Simmons Army Air Field,Fort Bragg,US-NC
Simón Bolívar International Airport,Caracas,VE-X
Simón Bolívar International Airport,Santa Marta,CO-MAG
Simon Mwansa Kapwepwe International Airport,Ndola,ZM-08
Sindal Airport,Sindal,DK-81
Singapore Changi Airport,Singapore,SG-04
Sintang(Susilo) Airport,Sintang-Borneo Island,ID-KB
Sion Airport,Sion,CH-VS
Sioux Gateway Col. Bud Day Field,Sioux City,US-IA
Sioux Lookout Airport,Sioux Lookout,CA-ON
Sir Abubakar Tafawa Balewa International Airport,Bauchi,NG-BA
Sir Charles Gaetan Duval Airport,Port Mathurin,MU-RO
Sir Grantley Adams International Airport,Bridgetown,BB-01
Sir Seewoosagur Ramgoolam International Airport,Port Louis,MU-GP
Sir Seretse Khama International Airport,Gaborone,BW-SE
??rnak ?erafettin Elçi Airport,??rnak,TR-73
Sishen Airport,Sishen,ZA-NC
Sitia Airport,Crete Island,GR-92
Sitka Rocky Gutierrez Airport,Sitka,US-AK
Sittwe Airport,Sittwe,MM-16
Siversky Air Base,Siversky,RU-LEN
Sivrihisar Airport,Sivrihisar,TR-26
Skardu Airport,Skardu,PK-NA
Skellefteå Airport,Skellefteå,SE-AC
Skiathos Island National Airport,Skiathos,GR-43
Skien Airport,Geiteryggen,NO-08
Skive Airport,Skive,DK-82
Skopje Alexander the Great Airport,Skopje,MK-004
Skövde Airport,Skövde,SE-Q
Skrydstrup Air Base,Vojens,DK-83
Skukuza Airport,Skukuza,ZA-MP
Slave Lake Airport,Slave Lake,CA-AB
Slia? Airport,Slia?,SK-BC
Sligo Airport,Sligo,IE-SO
Sloulin Field International Airport,Williston,US-ND
Smara Airport,Smara,EH-U-A
Smith Reynolds Airport,Winston Salem,US-NC
Smithers Airport,Smithers,CA-BC
Smiths Falls-Montague (Russ Beach) Airport,Smiths Falls,CA-ON
Smolensk North Airport,Smolensk,RU-SMO
Smuravyovo Air Base,Gdov,RU-PSK
Smyrna Airport,Smyrna,US-TN
Snohomish County (Paine Field) Airport,Everett,US-WA
Sochi International Airport,Sochi,RU-KDA
Socotra International Airport,Socotra Islands,YE-HD
Sodankyla Airport,Sodankyla,FI-LL
Söderhamn Airport,Söderhamn,SE-X
Soekarno-Hatta International Airport,Jakarta,ID-BT
Soewondo Air Force Base,Medan-Sumatra Island,ID-SU
Sofia Airport,Sofia,BG-23
Sohag International Airport,Sohag,EG-SHG
Sokol Airport,Magadan,RU-MAG
Solapur Airport,Solapur,IN-MM
Soldotna Airport,Soldotna,US-AK
Solenzara (BA 126) Air Base,Solenzara,FR-H
Soltsy-2 Air Base,Soltsy,RU-NGR
Sønderborg Airport,Sønderborg,DK-83
Sondok Airport,S?nd?ng-ni,KP-08
Sonora Municipal Airport,Sonora,US-TX
Sørkjosen Airport,Sørkjosen,NO-19
Sormovo Airfield,Nizhniy Novgorod,RU-NIZ
Soroti Airport,Soroti,UG-211
Soummam Airport,Béjaïa,DZ-06
South Alabama Regional At Bill Benton Field Airport,Andalusia/Opp,US-AL
South Arkansas Regional At Goodwin Field,El Dorado,US-AR
South Bend Regional Airport,South Bend,US-IN
South Bimini Airport,South Bimini,BS-BI
South Indian Lake Airport,South Indian Lake,CA-MB
Southampton Airport,Southampton,GB-ENG
Southdowns Airport,Kitwe,ZM-08
Southeast Iowa Regional Airport,Burlington,US-IA
Southeast Texas Regional Airport,Beaumont/Port Arthur,US-TX
Southend Airport,Southend,GB-ENG
Southern Illinois Airport,Carbondale/Murphysboro,US-IL
Southport Airport,Portage la Prairie,CA-MB
Southwest Florida International Airport,Fort Myers,US-FL
Southwest Georgia Regional Airport,Albany,US-GA
Southwest Oregon Regional Airport,North Bend,US-OR
Southwest Washington Regional Airport,Kelso,US-WA
Sovetskiy Airport,Sovetskiy,RU-KHM
Soyo Airport,Soyo,AO-ZAI
Space Coast Regional Airport,Titusville,US-FL
Spangdahlem Air Base,Trier,DE-RP
Sparrevohn LRRS Airport,Sparrevohn,US-AK
Spichenkovo Airport,Novokuznetsk,RU-KEM
Spirit of St Louis Airport,St Louis,US-MO
Split Airport,Split,HR-17
Spokane International Airport,Spokane,US-WA
Spriggs Payne Airport,Monrovia,LR-MO
Spring Point Airport,Spring Point,BS-AC
Springbok Airport,Springbok,ZA-NC
Springfield Branson National Airport,Springfield,US-MO
Springfield-Beckley Municipal Airport,Springfield,US-OH
Srednekolymsk Airport,Srednekolymsk,RU-SA
Sri Guru Ram Dass Jee International Airport,Amritsar,IN-PB
Sri Sathya Sai Airport,Puttaparthi,IN-AP
St Angelo Airport,Enniskillen,GB-NIR
St Augustin Airport,St-Augustin,CA-QC
St Cloud Regional Airport,St Cloud,US-MN
St Gallen Altenrhein Airport,Altenrhein,CH-SG
St George Airport,St George,US-AK
St George Municipal Airport,St George,US-UT
St Georges Airport,St Georges,CA-QC
St Jean Airport,St Jean,CA-QC
St Leonard Airport,St Leonard,CA-NB
St Louis Regional Airport,Alton/St Louis,US-IL
St Lucie County International Airport,Fort Pierce,US-FL
St Mary's Airport,St Mary's,US-AK
St Paul Downtown Holman Field,St Paul,US-MN
St Paul Island Airport,St Paul Island,US-AK
St Petersburg Clearwater International Airport,St Petersburg-Clearwater,US-FL
St Pierre Airport,Saint-Pierre,PM-SP
St Thomas Municipal Airport,St Thomas,CA-ON
St. Anthony Airport,St. Anthony,CA-NL
St. John's International Airport,St. John's,CA-NL
St. Mary's Airport,St. Mary's,GB-ENG
St. Theresa Point Airport,St. Theresa Point,CA-MB
Staraya Russa Air Base,Staraya Russa,RU-NGR
Staroselye Airport,Rybinsk,RU-YAR
Stauning Airport,Skjern / Ringkøbing,DK-82
Stavanger Airport Sola,Stavanger,NO-11
Stavropol Shpakovskoye Airport,Stavropol,RU-STA
Stella Maris Airport,Stella Maris,BS-LI
Step Air Base,Yasnogorsk,RU-CHI
Stepanakert Air Base,Stepanakert,AZ-XCI
Stephenville Airport,Stephenville,CA-NL
Stewart Airport,Stewart,CA-BC
Stewart International Airport,Newburgh,US-NY
Stillwater Regional Airport,Stillwater,US-OK
Stinson Municipal Airport,San Antonio,US-TX
Stockholm Skavsta Airport,Stockholm / Nyköping,SE-D
Stockholm Västerås Airport,Stockholm / Västerås,SE-U
Stockholm-Arlanda Airport,Stockholm,SE-AB
Stockholm-Bromma Airport,Stockholm,SE-AB
Stockton Metropolitan Airport,Stockton,US-CA
Stokmarknes Skagen Airport,Hadsel,NO-18
Stony Rapids Airport,Stony Rapids,CA-SK
Stord Airport,Leirvik,NO-12
Stornoway Airport,Stornoway,GB-SCT
Strasbourg Airport,Strasbourg,FR-A
Strezhevoy Airport,Strezhevoy,RU-TOM
Stung Treng Airport,Stung Treng,KH-19
Stuttgart Airport,Stuttgart,DE-BW
Sua Pan Airport,Sowa,BW-CE
Suai Airport,Suai,TL-CO
Sub Teniente Nestor Arias Airport,San Felipe,VE-U
Subic Bay International Airport,Olongapo City,PH-ZMB
Suboficial Ay Santiago Germano Airport,San Rafael,AR-M
Suceava Stefan cel Mare Airport,Suceava,RO-SV
Sudbury Airport,Sudbury,CA-ON
Sugar Land Regional Airport,Houston,US-TX
Sui Airport,Sui,PK-BA
Sukhumi Dranda Airport,Sukhumi,GE-AB
Sukkur Airport,Mirpur Khas,PK-SD
Sulaymaniyah International Airport,Sulaymaniyah,IQ-SW
Süleyman Demirel International Airport,Isparta,TR-32
Sultan Abdul Aziz Shah International Airport,Subang,MY-10
Sultan Abdul Halim Airport,Alor Satar,MY-02
Sultan Azlan Shah Airport,Ipoh,MY-08
Sultan Iskandar Muda International Airport,Banda Aceh,ID-AC
Sultan Ismail Petra Airport,Kota Baharu,MY-03
Sultan Khairun Babullah Airport,Sango-Ternate Island,ID-MU
Sultan Mahmud Airport,Kuala Terengganu,MY-11
Sultan Mahmud Badaruddin II Airport,Palembang-Sumatra Island,ID-SS
Sultan Syarif Kasim Ii (Simpang Tiga) Airport,Pekanbaru-Sumatra Island,ID-RI
Sumbe Airport,Sumbe,AO-CUS
Sumburgh Airport,Lerwick,GB-SCT
Summerside Airport,Summerside,CA-PE
Sunan Shuofang International Airport,Wuxi,CN-32
Sunchon Air Base,Sunchon,KP-02
Sundsvall-Härnösand Airport,Sundsvall/ Härnösand,SE-Y
Sungai Siring International Airport,Samarinda,ID-KI
Sunshine Coast Airport,Maroochydore,AU-QLD
Sunyani Airport,Sunyani,GH-BA
Supadio Airport,Pontianak-Borneo Island,ID-KB
Surat Thani Airport,Surat Thani,TH-84
Surgut Airport,Surgut,RU-KHM
Surigao Airport,Surigao City,PH-SUN
Surin Airport,Surin,TH-32
Suvarnabhumi Airport,Bangkok,TH-10
Suzhou Guangfu Airport,Suzhou,CN-32
"Svalbard Airport, Longyear",Longyearbyen,NO-21
Svetlogorsk Airport,Svetlogorsk,RU-KYA
Svolvær Helle Airport,Svolvær,NO-18
Swan River Airport,Swan River,CA-MB
Swansea Airport,Swansea,GB-WLS
Swift Current Airport,Swift Current,CA-SK
Sydney / J.A. Douglas McCurdy Airport,Sydney,CA-NS
Sydney Bankstown Airport,Sydney,AU-NSW
Sydney Kingsford Smith International Airport,Sydney,AU-NSW
Syktyvkar Airport,Syktyvkar,RU-KO
Syktyvkar Southwest,Syktyvkar,RU-KO
Syracuse Hancock International Airport,Syracuse,US-NY
"Szczecin-Goleniów ""Solidarno??"" Airport",Goleniow,PL-ZP
Szolnok Airport,Szolnok,HU-JN
Ta’if Regional Airport,Ta’if,SA-02
Taba International Airport,Taba,EG-SIN
Tabarka 7 Novembre Airport,Tabarka,TN-32
Tabas Airport,Tabas,IR-25
Tabatinga Airport,Tabatinga,BR-AM
Tabing Airport,Padang-Sumatra Island,ID-SB
Tabriz International Airport,Tabriz,IR-01
Tabuk Airport,Tabuk,SA-07
Tachileik Airport,Tachileik,MM-17
Tacoma Narrows Airport,Tacoma,US-WA
Tadoule Lake Airport,Tadoule Lake,CA-MB
Taganrog Tsentralny Air Base,Taganrog,RU-ROS
Taganrog Yuzhny Airport,Taganrog,RU-ROS
Tagbilaran Airport,Tagbilaran City,PH-BOH
Tahoua Airport,Tahoua,NE-5
Taichung Ching Chuang Kang Airport,Taichung City,TW-TXG
Tainan Airport,Tainan City,TW-TNN
Taipei Songshan Airport,Taipei City,TW-TPE
Taiping Airport,Harbin,CN-23
Taitung Airport,Taitung City,TW-TTT
Taiwan Taoyuan International Airport,Taipei,TW-TAO
Taiyuan Wusu Airport,Taiyuan,CN-14
Ta'izz International Airport,Ta'izz,YE-TA
Tajima Airport,Tajima,JP-28
Takamatsu Airport,Takamatsu,JP-37
Takoradi Airport,Sekondi-Takoradi,GH-WP
Tal Ashtah New Air Base,http://en.wikipedia.org/wiki/Tal_Ashtah_Air_Base,IQ-TS
Talagi Airport,Archangelsk,RU-ARK
Taldykorgan Airport,Taldy Kurgan,KZ-ALM
Talkeetna Airport,Talkeetna,US-AK
Tall Afar Army Air Field,Tall Afar,IQ-NI
Tallahassee Regional Airport,Tallahassee,US-FL
Taloyoak Airport,Taloyoak,CA-NU
Tamale Airport,Tamale,GH-NP
Tambacounda Airport,Tambacounda,SN-TC
Tambov Air Base,Tambov,RU-TAM
Tampa International Airport,Tampa,US-FL
Tampere-Pirkkala Airport,Tampere / Pirkkala,FI-LS
Tamworth Airport,Tamworth,AU-NSW
Tan Son Nhat International Airport,Ho Chi Minh City,VN-23
Tan Tan Airport,Tan Tan,MA-TNT
Tanagra Air Base,Tanagra,GR-03
Tancos Airbase,Tancos,PT-14
Tancredo Neves International Airport,Belo Horizonte,BR-MG
Tanga Airport,Tanga,TZ-25
Taoxian Airport,Shenyang,CN-21
Taoyuan Air Base,Taoyuan City,TW-TAO
Tapachula International Airport,Tapachula,MX-CHP
Taplejung Airport,Taplejung,NP-ME
Tarama Airport,Tarama,JP-47
